"","UBIGEO","DEPARTAMENTO","PROVINCIA","DISTRITO","FALTAS_CONTRA_EL_PATRIMONIO","FALTAS_CONTRA_LA_SEGURIDAD_PUBLICA","FALTAS_CONTRA_LA_TRANQUILIDAD_PUBLICA","FALTAS_CONTRA_LAS_BUENAS_COSTUMBRES","FALTAS_CONTRA_LAS_PERSONAS"
"1","x010103","AMAZONAS","CHACHAPOYAS","BALSAS",0,0,1,1,1
"2","x010106","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA",0,0,0,0,1
"3","x010109","AMAZONAS","CHACHAPOYAS","LA JALCA",2,0,0,0,2
"4","x010110","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA",0,0,0,3,9
"5","x010113","AMAZONAS","CHACHAPOYAS","MARISCAL CASTILLA",0,1,0,0,0
"6","x010114","AMAZONAS","CHACHAPOYAS","MOLINOPAMPA",0,0,0,0,2
"7","x010118","AMAZONAS","CHACHAPOYAS","SAN FRANCISCO DE DAGUAS",1,0,0,0,0
"8","x010201","AMAZONAS","BAGUA","BAGUA",2,0,0,1,15
"9","x010202","AMAZONAS","BAGUA","ARAMANGO",0,0,1,1,0
"10","x010205","AMAZONAS","BAGUA","IMAZA",2,0,2,1,3
"11","x010206","AMAZONAS","BAGUA","LA PECA",3,2,3,1,20
"12","x010301","AMAZONAS","BONGARA","JUMBILLA",4,0,0,0,4
"13","x010303","AMAZONAS","BONGARA","CHURUJA",1,0,0,0,2
"14","x010307","AMAZONAS","BONGARA","JAZAN",2,0,0,2,15
"15","x010311","AMAZONAS","BONGARA","VALERA",0,0,0,0,1
"16","x010312","AMAZONAS","BONGARA","YAMBRASBAMBA",0,0,0,1,2
"17","x010401","AMAZONAS","CONDORCANQUI","NIEVA",0,0,0,1,3
"18","x010501","AMAZONAS","LUYA","LAMUD",0,0,0,1,1
"19","x010504","AMAZONAS","LUYA","COLCAMAR",1,0,0,0,0
"20","x010506","AMAZONAS","LUYA","INGUILPATA",1,0,0,1,1
"21","x010509","AMAZONAS","LUYA","LUYA",1,0,0,0,3
"22","x010514","AMAZONAS","LUYA","PISUQUIA",0,0,0,1,1
"23","x010521","AMAZONAS","LUYA","SANTO TOMAS",0,0,0,0,2
"24","x010522","AMAZONAS","LUYA","TINGO",2,0,0,1,3
"25","x010601","AMAZONAS","RODRIGUEZ DE MENDOZA","SAN NICOLAS",3,0,1,2,8
"26","x010602","AMAZONAS","RODRIGUEZ DE MENDOZA","CHIRIMOTO",1,0,0,0,3
"27","x010604","AMAZONAS","RODRIGUEZ DE MENDOZA","HUAMBO",0,1,0,0,0
"28","x010605","AMAZONAS","RODRIGUEZ DE MENDOZA","LIMABAMBA",5,0,0,1,1
"29","x010606","AMAZONAS","RODRIGUEZ DE MENDOZA","LONGAR",0,0,0,0,3
"30","x010609","AMAZONAS","RODRIGUEZ DE MENDOZA","OMIA",0,0,0,1,3
"31","x010610","AMAZONAS","RODRIGUEZ DE MENDOZA","SANTA ROSA",1,0,0,0,0
"32","x010701","AMAZONAS","UTCUBAMBA","BAGUA GRANDE",14,1,5,14,40
"33","x010703","AMAZONAS","UTCUBAMBA","CUMBA",2,0,1,0,2
"34","x010704","AMAZONAS","UTCUBAMBA","EL MILAGRO",0,0,0,0,1
"35","x010705","AMAZONAS","UTCUBAMBA","JAMALCA",1,0,0,1,0
"36","x010706","AMAZONAS","UTCUBAMBA","LONYA GRANDE",2,0,0,0,2
"37","x020101","ANCASH","HUARAZ","HUARAZ",86,4,20,8,413
"38","x020105","ANCASH","HUARAZ","INDEPENDENCIA",1,0,0,0,8
"39","x020106","ANCASH","HUARAZ","JANGAS",0,0,0,0,1
"40","x020110","ANCASH","HUARAZ","PARIACOTO",0,0,0,0,4
"41","x020112","ANCASH","HUARAZ","TARICA",1,0,0,0,4
"42","x020201","ANCASH","AIJA","AIJA",3,0,0,0,2
"43","x020301","ANCASH","ANTONIO RAYMONDI","LLAMELLIN",5,0,0,0,5
"44","x020401","ANCASH","ASUNCION","CHACAS",3,0,0,0,9
"45","x020501","ANCASH","BOLOGNESI","CHIQUIAN",2,0,0,0,11
"46","x020507","ANCASH","BOLOGNESI","COLQUIOC",0,0,0,0,3
"47","x020508","ANCASH","BOLOGNESI","HUALLANCA",0,0,0,0,9
"48","x020601","ANCASH","CARHUAZ","CARHUAZ",2,0,0,0,11
"49","x020604","ANCASH","CARHUAZ","ANTA",0,0,0,0,8
"50","x020606","ANCASH","CARHUAZ","MARCARA",4,0,0,0,5
"51","x020609","ANCASH","CARHUAZ","SHILLA",0,0,0,1,0
"52","x020701","ANCASH","CARLOS FERMIN FITZCARRALD","SAN LUIS",2,0,0,2,5
"53","x020801","ANCASH","CASMA","CASMA",4,0,1,0,45
"54","x020804","ANCASH","CASMA","YAUTAN",1,0,0,0,5
"55","x020901","ANCASH","CORONGO","CORONGO",7,0,0,1,3
"56","x020905","ANCASH","CORONGO","LA PAMPA",3,0,0,0,0
"57","x021001","ANCASH","HUARI","HUARI",3,0,0,0,7
"58","x021003","ANCASH","HUARI","CAJAY",0,0,0,0,3
"59","x021004","ANCASH","HUARI","CHAVIN DE HUANTAR",5,0,0,0,24
"60","x021005","ANCASH","HUARI","HUACACHI",1,0,0,2,8
"61","x021009","ANCASH","HUARI","MASIN",0,0,0,0,2
"62","x021014","ANCASH","HUARI","SAN MARCOS",2,0,0,1,15
"63","x021016","ANCASH","HUARI","UCO",2,0,0,0,0
"64","x021101","ANCASH","HUARMEY","HUARMEY",7,0,2,9,48
"65","x021201","ANCASH","HUAYLAS","CARAZ",7,1,1,2,39
"66","x021202","ANCASH","HUAYLAS","HUALLANCA",4,0,0,2,5
"67","x021204","ANCASH","HUAYLAS","HUAYLAS",1,0,0,0,2
"68","x021301","ANCASH","MARISCAL LUZURIAGA","PISCOBAMBA",1,0,0,0,19
"69","x021401","ANCASH","OCROS","OCROS",1,0,0,0,4
"70","x021501","ANCASH","PALLASCA","CABANA",0,0,0,1,10
"71","x021503","ANCASH","PALLASCA","CONCHUCOS",0,0,0,0,1
"72","x021508","ANCASH","PALLASCA","PALLASCA",1,0,0,0,8
"73","x021509","ANCASH","PALLASCA","PAMPAS",1,0,0,0,2
"74","x021601","ANCASH","POMABAMBA","POMABAMBA",5,0,0,1,9
"75","x021701","ANCASH","RECUAY","RECUAY",4,0,0,0,10
"76","x021702","ANCASH","RECUAY","CATAC",3,0,0,1,1
"77","x021703","ANCASH","RECUAY","COTAPARACO",0,0,0,0,1
"78","x021801","ANCASH","SANTA","CHIMBOTE",163,2,11,20,472
"79","x021803","ANCASH","SANTA","COISHCO",8,0,2,2,32
"80","x021804","ANCASH","SANTA","MACATE",0,0,0,0,2
"81","x021805","ANCASH","SANTA","MORO",2,0,1,1,12
"82","x021806","ANCASH","SANTA","NEPEÑA",0,0,0,0,4
"83","x021807","ANCASH","SANTA","SAMANCO",0,0,0,0,3
"84","x021808","ANCASH","SANTA","SANTA",14,0,2,3,45
"85","x021809","ANCASH","SANTA","NUEVO CHIMBOTE",55,12,0,9,229
"86","x021901","ANCASH","SIHUAS","SIHUAS",2,0,0,0,6
"87","x021907","ANCASH","SIHUAS","QUICHES",0,0,0,0,1
"88","x022001","ANCASH","YUNGAY","YUNGAY",2,0,0,0,6
"89","x022005","ANCASH","YUNGAY","QUILLO",0,0,0,0,1
"90","x022008","ANCASH","YUNGAY","YANAMA",3,0,0,1,3
"91","x030101","APURIMAC","ABANCAY","ABANCAY",44,1,0,12,307
"92","x030102","APURIMAC","ABANCAY","CHACOCHE",0,0,0,0,4
"93","x030104","APURIMAC","ABANCAY","CURAHUASI",1,0,2,0,24
"94","x030105","APURIMAC","ABANCAY","HUANIPACA",1,0,0,0,5
"95","x030106","APURIMAC","ABANCAY","LAMBRAMA",0,0,0,0,5
"96","x030108","APURIMAC","ABANCAY","SAN PEDRO DE CACHORA",1,0,0,0,11
"97","x030109","APURIMAC","ABANCAY","TAMBURCO",6,1,0,4,79
"98","x030201","APURIMAC","ANDAHUAYLAS","ANDAHUAYLAS",6,0,0,0,153
"99","x030202","APURIMAC","ANDAHUAYLAS","ANDARAPA",0,0,0,0,3
"100","x030203","APURIMAC","ANDAHUAYLAS","CHIARA",1,0,0,0,0
"101","x030204","APURIMAC","ANDAHUAYLAS","HUANCARAMA",0,0,0,2,6
"102","x030205","APURIMAC","ANDAHUAYLAS","HUANCARAY",4,0,1,2,10
"103","x030207","APURIMAC","ANDAHUAYLAS","KISHUARA",0,0,0,0,3
"104","x030209","APURIMAC","ANDAHUAYLAS","PACUCHA",0,0,0,1,9
"105","x030210","APURIMAC","ANDAHUAYLAS","PAMPACHIRI",0,0,0,0,21
"106","x030212","APURIMAC","ANDAHUAYLAS","SAN ANTONIO DE CACHI",0,0,0,0,4
"107","x030213","APURIMAC","ANDAHUAYLAS","SAN JERONIMO",4,0,0,6,38
"108","x030215","APURIMAC","ANDAHUAYLAS","SANTA MARIA DE CHICMO",5,0,0,1,16
"109","x030216","APURIMAC","ANDAHUAYLAS","TALAVERA",20,0,0,6,119
"110","x030301","APURIMAC","ANTABAMBA","ANTABAMBA",1,0,0,2,14
"111","x030305","APURIMAC","ANTABAMBA","OROPESA",4,0,0,13,29
"112","x030306","APURIMAC","ANTABAMBA","PACHACONAS",1,0,0,0,4
"113","x030401","APURIMAC","AYMARAES","CHALHUANCA",3,0,0,0,21
"114","x030406","APURIMAC","AYMARAES","COTARUSE",2,0,0,0,3
"115","x030414","APURIMAC","AYMARAES","TAPAIRIHUA",4,0,0,1,13
"116","x030415","APURIMAC","AYMARAES","TINTAY",0,0,1,0,14
"117","x030417","APURIMAC","AYMARAES","YANACA",2,0,0,0,3
"118","x030501","APURIMAC","COTABAMBAS","TAMBOBAMBA",0,0,0,1,6
