"UBIGEO","POBLACION"
"x010101",35867.9992847687
"x010102",283.000054709
"x010103",1232.999951255
"x010104",681.999776362
"x010105",628.000259511
"x010106",1978.998708557
"x010107",517.999984861001
"x010108",1286.00006771
"x010109",4253.001293629
"x010110",3871.00139550099
"x010111",838.000060924001
"x010112",913.000006794
"x010113",1454.001107082
"x010114",2334.999708403
"x010115",527.999956258
"x010116",418.999972118
"x010117",828.000022893
"x010118",320.999922269
"x010119",613.000134593
"x010120",1300.999587891
"x010121",268.000175357
"x010201",28836.00062243
"x010202",10486.995004945
"x010203",4971.99921067599
"x010204",1292.999640237
"x010205",29851.9976051669
"x010206",6753.00189291901
"x010301",1384.999859583
"x010302",324.000114446
"x010303",297.000015492
"x010304",805.000028953999
"x010305",707.999737256001
"x010306",6395.00048880496
"x010307",8059.00009170299
"x010308",221.000031462
"x010309",508.999966037
"x010310",1614.000018725
"x010311",916.999943264
"x010312",5851.00080098399
"x010401",21324.0012476982
"x010402",11657.9979583778
"x010403",16818.003712159
"x010501",2381.99947297
"x010502",7237.00263756799
"x010503",2094.999529735
"x010504",2035.000733833
"x010505",1956.999723068
"x010506",526.000040768
"x010507",901.000049705001
"x010508",900.000044957001
"x010509",4155.99935566399
"x010510",408.99996543
"x010511",796.000246153001
"x010512",3901.99979482199
"x010513",3746.000375866
"x010514",5175.00079092703
"x010515",1407.999416832
"x010516",583.999937902
"x010517",748.000297439999
"x010518",681.99970328
"x010519",458.999999999
"x010520",2056.999862556
"x010521",3207.000630029
"x010522",1347.999686708
"x010523",1430.00020912
"x010601",6203.99950211298
"x010602",2658.999474179
"x010603",623.999807589
"x010604",2801.000005017
"x010605",2503.99988398301
"x010606",1710.00029494099
"x010607",1567.999324098
"x010608",468.999949696999
"x010609",9458.00030039701
"x010610",538.999968044
"x010611",294.999981281
"x010612",3299.00023362104
"x010701",55764.007998235
"x010702",25103.9994605931
"x010703",8867.99967187097
"x010704",6385.99869851699
"x010705",7318.99805455108
"x010706",10937.001023637
"x010707",3220.00032960901
"x020101",65005.000452956
"x020102",1744.999887683
"x020103",324.000005826
"x020104",1737.000487196
"x020105",80610.0102803959
"x020106",4971.00034380801
"x020107",1130.999665604
"x020108",2496.00028476699
"x020109",1044.000511535
"x020110",4990.00058174901
"x020111",3522.00078262399
"x020112",6958.99987439193
"x020201",2130.000355849
"x020202",1719.000120645
"x020203",388.000002383
"x020204",1649.999946708
"x020205",752.000024680002
"x020301",3457.000210291
"x020302",2013.999629731
"x020303",1433.000288489
"x020304",1949.000439533
"x020305",4290.000538814
"x020306",1216.999485507
"x020401",4834.99818995
"x020402",3038.00007334599
"x020501",4060.000069567
"x020502",260.000005726
"x020503",1045.999801863
"x020504",2203.999567262
"x020505",1810.99960577
"x020506",328.000144365
"x020507",2463.999498143
"x020508",6749.00006114899
"x020509",1504.000477545
"x020510",1336.000016455
"x020511",477.999849561
